,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,Diferentes medidas para las diferentes cosas,,,,,,,
,,,,,,,,
,,,,,,,,
,,Kappa,Media,Desviación típica,,RMSE,Media,Desviación típica
,,IB1,"0,6025505963","0,0404146792",,IB1,"0,384400358","0,0197827016"
,,IB3,"0,5725505427","0,0460169624",,IB3,"0,3415980909","0,0255988005"
,,IB5,"0,6086465895","0,0476260778",,IB5,"0,3165281066","0,0233405931"
,,IB10,"0,6195937448","0,0325485669",,IB10,"0,312307839","0,0202847657"
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,Accuracy,Media,Desviación típica,,ROC,Media,Desviación típica
,,IB1,"70,2109293422","3,0261380256",,IB1,"0,9017714833","0,0362136564"
,,IB3,"67,9624086321","3,4548936757",,IB3,"0,9434379136","0,027513118"
,,IB5,"70,6829098503","3,5896098649",,IB5,"0,960632297","0,0268433053"
,,IB10,"71,5113122172","2,4405892411",,IB10,"0,9661963214","0,0195607528"
,,,,,,,,
,,,,,,,,
,,,,,,,,
,Para Logistic y Simple Logistic,Accuracy,Kappa,RMSE,ROC,,,
,Logistic,"78,7239819005","0,7162669243","0,2607914549","0,9853496053",,,
,SimpleLogistic,"78,012530456","0,7067074702","0,2732138331","0,9879935952",,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,Para J48 y LMT,Accuracy,Kappa,RMSE,Roc,,,
,J48,"92,0952380952","0,8965914783","0,1289748072","0,9659064327",,,
,LMT,"93,0476190476","0,9090307737","0,1079711908","0,9957518797",,,
,,,,,,,,
,,,,,,,,
,Para MultiLayer y RBF,Accuracy,Kappa,RMSE,ROC,,,
,MultilayerPerceptron,"81,4430908458","0,7525585819","0,2724188403","0,9425268149",,,
,RBFNetwork,"64,5402018796","0,5272093451","0,3407679157","0,8646599047",,,
